restriction_id,place_id,Place,Photography Allowed,Food Allowed,Drone Allowed,Mobile Allowed,Shoes Required Outside,Special Dress Code,Restricted Items,Notes
RES001,VNS002,Kashi Vishwanath Temple,No,No,No,No,Yes,"Modest traditional attire recommended; strictly required for Sugam/VIP Darshan & Sparsh Puja (Dhoti-Kurta for men, Saree/Salwar for women)","Mobile phones, cameras, leather belts, leather wallets, smartwatches, bags, metal objects, cigarettes, matchboxes",Free lockers are available at the entrance gates. High security screening is conducted by police and CRPF.
RES002,VNS001,Dashashwamedh Ghat,Yes,Yes,No,Yes,No,None (Modest clothing recommended),"Plastic litter, non-biodegradable waste, illegal substances",Drone flying requires prior written permission from the District Magistrate and Varanasi Police.
RES003,VNS003,Manikarnika Ghat,No,No,No,Yes (Strictly No Photography/Videography),No,None (Respectful attire expected),"Cameras, drones, tripod stands, alcoholic beverages",Photography of cremation funeral pyres is strictly prohibited out of respect for grieving families.
RES004,VNS004,Assi Ghat,Yes,Yes,No,Yes,No,,"Littering, single-use plastics, alcohol, loud speakers without permission",Drones are prohibited without local police clearance due to river security zone regulations.
RES005,VNS006,Sarnath Archaeological Museum,No,No,No,Yes (Must be on silent/locker deposit required in main gallery),No,,"Cameras, large bags, backpacks, food items, umbrellas, sharp objects",Locker facility available near the main security check post. Closed on Fridays.
RES006,VNS005,Sarnath Archaeological Site & Dhamek Stupa,Yes,No,No,Yes,No,,"Plastic food wrappers, drones, sharp objects, commercial filming equipment without ASI license",Commercial videography and drones require prior ASI license.
RES007,VNS010,Sankat Mochan Hanuman Temple,No,No,No,No,Yes,Modest traditional attire,"Mobile phones, electronic gadgets, cameras, leather bags, weapons",Strict security measures following past security incidents. Lockers provided at entrance.
RES008,VNS002,New Vishwanath Temple (BHU VT),Yes (Outside sanctum only),No,No,Yes,Yes,,"Footwear inside main sanctum, plastic waste, alcohol","Photography permitted in surrounding lawns, strictly prohibited in inner shrine."
RES009,VNS009,Ramnagar Fort & Museum,No (Inside museum),No,No,Yes,No,,"Professional cameras inside museum, sharp objects, large luggage, drones","Photography permitted in courtyard and river-facing ramparts, forbidden in Saraswati Bhawan Museum."
RES010,VNS014,Kaal Bhairav Temple,No,No,No,Yes (Avoid use inside shrine),Yes,Modest clothing,"Leather items, alcohol, cameras near deity idol",Shoe stands managed by local vendors near narrow approach lane.
RES011,VNS015,Annapurna Temple,No,No,No,Yes (Silent mode),Yes,Modest traditional clothing,"Leather items, footwear, large luggage",Golden idol revealed only during annual Annakoot festival.
RES012,VNS013,Bharat Mata Mandir,Yes,No,No,Yes,Yes,,"Footwear on marble map platform, plastic waste",Visitors must remove footwear before stepping onto the raised marble map viewing deck.
RES013,VNS012,Durga Kund Temple,No (Near main deity),No,No,Yes,Yes,Modest attire,"Leather goods, plastic bags, cameras inside sanctum",Beware of monkeys near temple courtyard; keep belongings safe.
RES014,VNS011,Tulsi Manas Mandir,Yes,No,No,Yes,Yes,,"Footwear inside main hall, plastic waste",Photography permitted on upper and ground floors.
RES015,VNS017,Bharat Kala Bhavan Museum (BHU),No,No,No,Yes (Locker deposit for bags),No,,"Flash photography, cameras, food, large bags, sharp items",University museum; requires ticket entry.
RES016,VNS018,Jantar Mantar (Man Singh Observatory),Yes,No,No,Yes,No,,"Commercial equipment without ASI permit, plastic litter",ASI protected site on top of Man Mahal Palace.
RES017,VNS019,Namo Ghat (Khidkiya Ghat),Yes,Yes (Designated food court only),No,Yes,No,,"Unauthorized drones, littering outside dustbins",Modern accessible ghat equipped with helipad and paved walkways.
RES018,VNS025,Mulagandha Kuti Vihar (Sarnath),Yes (Outside sanctum),No,No,Yes (Silent mode),Yes,Modest attire,"Loud noise, footwear inside main prayer hall",Maha Bodhi temple complex with sacred Bodhi tree.
RES019,VNS016,Chaukhandi Stupa,Yes,No,No,Yes,No,,"Drones, littering, graffiti on stone monument",ASI heritage site.
RES020,VNS027,Thai Temple Sarnath,Yes,No,No,Yes,Yes (Inside prayer hall),Modest clothing (Shoulders and knees covered),"Footwear inside shrine, loud audio devices",Lush gardens surrounding 80-ft standing Buddha.
