restaurant_id,nearby_place_id,restaurant_name,address,latitude,longitude,cuisine,veg_nonveg,price_range,opening_time,closing_time,family_friendly,wheelchair_accessible,parking,rating,nearby_attraction
RST001,VNS001,Kashi Chat Bhandar,"D 37/49, Godowlia Crossing, Varanasi, Uttar Pradesh 221001",25.3092,83.0084,"North Indian Street Food, Chaat",Pure Veg,Budget (₹100 - ₹200),15:00,22:30,Yes,No,No,4.5,Dashashwamedh Ghat
RST002,VNS029,Deena Chat Bhandar,"D 47/184, Luxa Rd, Misir Pokhra, Luxa, Varanasi, Uttar Pradesh 221001",25.3085,83.0042,"North Indian Street Food, Chaat",Pure Veg,Budget (₹100 - ₹200),14:00,22:30,Yes,No,No,4.4,Godowlia Market
RST003,VNS004,Pizzeria Vaatika Cafe,"B 1/178, Assi Ghat, Varanasi, Uttar Pradesh 221005",25.288,82.9998,"Italian, Pizza, Cafe",Pure Veg,Moderate (₹400 - ₹800),07:00,22:00,Yes,Moderate,No,4.3,Assi Ghat
RST004,VNS003,Blue Lassi Shop,"CK 12/1, Kunj Gali, Near Manikarnika Ghat, Varanasi, Uttar Pradesh 221001",25.3114,83.0125,"Beverages, Desserts, Lassi",Pure Veg,Budget (₹100 - ₹200),08:00,22:30,Yes,No,No,4.4,Manikarnika Ghat
RST005,VNS001,Brown Bread Bakery,"D 25/42, Ganga Mahal, Bangali Tola, Varanasi, Uttar Pradesh 221001",25.3055,83.0089,"Bakery, Continental, European",Pure Veg,Moderate (₹300 - ₹600),07:00,22:00,Yes,No,No,4.2,Dashashwamedh Ghat
RST006,VNS018,Dolphin Restaurant,"Man Mandir Ghat, Dashashwamedh, Varanasi, Uttar Pradesh 221001",25.3086,83.0114,"Multi-Cuisine, North Indian, Continental",Pure Veg,Moderate (₹500 - ₹1000),08:00,22:30,Yes,No,No,4.1,Jantar Mantar Varanasi
RST007,VNS002,Awon Express,"D 37/33, Baradev, Godowlia, Varanasi, Uttar Pradesh 221001",25.3095,83.0078,"North Indian, South Indian, Chinese",Pure Veg,Budget (₹200 - ₹400),08:00,22:30,Yes,No,No,4.0,Kashi Vishwanath Temple
RST008,VNS022,The Darbhanga (BrijRama Palace),"Darbhanga Ghat, Dashashwamedh, Varanasi, Uttar Pradesh 221001",25.3065,83.01,"Fine Dining, Royal North Indian, Banarasi Thali",Pure Veg,Fine Dining (₹2000 - ₹4000),07:30,22:30,Yes,No,No,4.7,Darbhanga Ghat
RST009,VNS004,Open Hand Cafe,"B 1/25B, Dumraon Bagh Colony, Assi Ghat, Varanasi, Uttar Pradesh 221005",25.2872,82.9985,"Cafe, Western, Coffee, Bakery",Veg & Non-Veg,Moderate (₹300 - ₹600),08:00,20:00,Yes,Yes,Yes,4.4,Assi Ghat
RST010,VNS007,Pehalwan Lassi,"Lanka Crossing, Near BHU Gate, Varanasi, Uttar Pradesh 221005",25.2785,82.9962,"Desserts, Lassi, Sweets",Pure Veg,Budget (₹50 - ₹150),07:00,23:00,Yes,Yes,No,4.3,Banaras Hindu University (BHU)
RST011,VNS004,Cafe Banaras,"Assi Ghat Road, Shivala, Varanasi, UP 221005",25.2885,82.9992,"Cafe, Continental, Indian",Pure Veg,Moderate (₹300 - ₹500),08:00,22:00,Yes,Yes,No,4.2,Assi Ghat
RST012,VNS031,Shree Rajbandhu Sweets,"Kachauri Gali, Chowk, Varanasi, UP 221001",25.3135,83.009,"Traditional Sweets, Malaiyo, Snacks",Pure Veg,Budget (₹100 - ₹250),07:00,22:00,Yes,No,No,4.6,Thatheri Bazaar
RST013,VNS013,Ming Garden,"Mint House, Nadesar, Cantt, Varanasi, UP 221002",25.334,82.9845,"Chinese, Pan-Asian",Veg & Non-Veg,Moderate (₹500 - ₹1000),12:00,23:00,Yes,Yes,Yes,4.3,Bharat Mata Mandir
RST014,VNS013,Canton Royale Restaurant,"Hotel Surya, Mall Road, Cantt, Varanasi, UP 221002",25.3325,82.983,"Multi-Cuisine, Mughlai, Continental",Veg & Non-Veg,Fine Dining (₹1000 - ₹2000),12:30,23:00,Yes,Yes,Yes,4.4,Varanasi Cantt Station
RST015,VNS013,Baati Chokha Restaurant,"Anand Marg, Teliyabag, Varanasi, UP 221002",25.321,82.9915,"Traditional Awadhi, Baati Chokha",Pure Veg,Budget (₹250 - ₹500),11:00,22:30,Yes,Yes,Yes,4.5,Bharat Mata Mandir
RST016,VNS013,Tadka - The Ramada Plaza,"Pariyat, Cantonment, Varanasi, UP 221002",25.3355,82.981,"Indian, Mughlai, Kebabs",Veg & Non-Veg,Fine Dining (₹1500 - ₹3000),19:00,23:30,Yes,Yes,Yes,4.6,Varanasi Cantt Station
RST017,VNS007,Great Indian Dosa,"Lanka Crossing, Near BHU Gate, Varanasi, UP 221005",25.279,82.9958,"South Indian, Fusion Dosa",Pure Veg,Budget (₹150 - ₹300),11:00,22:30,Yes,Yes,No,4.3,Banaras Hindu University (BHU)
RST018,VNS013,Dawat Restaurant,"Sigra Rd, Opp IP Sigra Mall, Varanasi, UP 221002",25.318,82.9905,"North Indian, Chinese",Veg & Non-Veg,Moderate (₹400 - ₹800),11:30,22:30,Yes,Yes,Yes,4.1,IP Sigra Mall
RST019,VNS013,VNS Live Studio,"Sigra Rd, Sigra, Varanasi, UP 221002",25.3172,82.9898,"Multi-Cuisine, Italian, North Indian",Veg & Non-Veg,Moderate (₹500 - ₹900),12:00,23:00,Yes,Yes,Yes,4.2,IP Sigra Mall
RST020,VNS049,Territory Cafe & Restaurant,"Bhelupur Crossing, Varanasi, UP 221010",25.304,82.991,"Cafe, Fast Food, Italian",Veg & Non-Veg,Budget (₹200 - ₹450),11:00,22:00,Yes,Yes,Yes,4.0,Batuk Bhairav Temple
RST021,VNS009,Shiv Prasad Ramnagar Lassi,"Ramnagar Fort Crossing, Varanasi, UP 221008",25.2825,83.0232,"Lassi, Rabri, Sweets",Pure Veg,Budget (₹50 - ₹100),08:00,21:00,Yes,Yes,No,4.6,Ramnagar Fort
RST022,VNS013,Aroma Restaurant,"Hotel Clark, The Mall Road, Cantt, Varanasi, UP 221002",25.331,82.985,"Multi-Cuisine, Buffet",Veg & Non-Veg,Fine Dining (₹1200 - ₹2500),07:00,23:00,Yes,Yes,Yes,4.3,Varanasi Cantt Station
RST023,VNS013,Crystal & Spice,"Hotel Hindustan International, Maldahiya, Varanasi, UP 221001",25.324,82.993,"North Indian, Asian, Continental",Veg & Non-Veg,Fine Dining (₹1000 - ₹2000),12:00,23:00,Yes,Yes,Yes,4.2,Maldahiya Crossing
RST024,VNS004,Terranza Rooftop Restaurant,"Ravindrapuri Rd, Anandbagh, Varanasi, UP 221005",25.2915,82.995,"North Indian, Continental, Rooftop Dining",Veg & Non-Veg,Moderate (₹600 - ₹1200),16:00,23:30,Yes,Yes,Yes,4.3,Assi Ghat
RST025,VNS013,Cafe Horizon,"Hotel Madhuban, Sigra, Varanasi, UP 221002",25.3165,82.988,"Cafe, Snacks, Beverages",Veg & Non-Veg,Budget (₹200 - ₹400),09:00,22:00,Yes,Yes,Yes,4.0,IP Sigra Mall
RST026,VNS013,Iitihaas Restaurant,"Hotel Gateway Taj, Nadesar Palace Grounds, Varanasi, UP 221002",25.336,82.9835,"Royal Indian, Banarasi Heritage Thali",Veg & Non-Veg,Fine Dining (₹2500 - ₹5000),12:30,23:00,Yes,Yes,Yes,4.8,Nadesar Palace
RST027,VNS005,Highway Inn Restaurant,"Sarnath Rd, Sarnath, Varanasi, UP 221007",25.378,83.021,"North Indian, Thali",Pure Veg,Budget (₹200 - ₹400),08:00,22:00,Yes,Yes,Yes,4.1,Sarnath Archaeological Site
RST028,VNS027,Garden Cafe Sarnath,"Near Thai Temple, Sarnath, Varanasi, UP 221007",25.382,83.019,"Continental, Snacks, Asian",Pure Veg,Budget (₹150 - ₹350),08:00,20:00,Yes,Yes,Yes,4.2,Thai Temple Sarnath
RST029,VNS006,Buddha Garden Restaurant,"Museum Road, Sarnath, Varanasi, UP 221007",25.3802,83.0218,"Indian, Chinese, Continental",Pure Veg,Budget (₹200 - ₹450),09:00,21:00,Yes,Yes,Yes,4.0,Sarnath Archaeological Museum
RST030,VNS005,Bati Chokha Family Restaurant,"Paharia Rd, Paharia, Varanasi, UP 221007",25.352,83.011,"Traditional Baati Chokha, Thali",Pure Veg,Budget (₹200 - ₹400),11:00,22:30,Yes,Yes,Yes,4.4,Sarnath Road
RST031,VNS029,El Parador,"D 53/90, Luxa Road, Varanasi, UP 221001",25.3105,83.003,"Korean, Japanese, Continental",Veg & Non-Veg,Moderate (₹400 - ₹800),12:00,21:30,Yes,No,No,4.3,Godowlia Market
RST032,VNS007,Solitary Cafe,"Nagwa Rd, Near Lanka, Varanasi, UP 221005",25.275,82.998,"Cafe, Continental, Mocktails",Veg & Non-Veg,Moderate (₹300 - ₹600),11:00,23:00,Yes,Yes,Yes,4.1,BHU Lanka Gate
RST033,VNS013,Dawat-E-Khas,"Hotel Clarks, Mall Road, Cantt, Varanasi, UP 221002",25.3312,82.9852,"Awadhi, Mughlai, Kebabs",Veg & Non-Veg,Fine Dining (₹1200 - ₹2500),19:30,23:30,Yes,Yes,Yes,4.5,Varanasi Cantt Station
RST034,VNS001,Spicy Bites,"D 32/16A, Bangali Tola, Varanasi, UP 221001",25.306,83.008,"Indian, Chinese, Israeli",Veg & Non-Veg,Budget (₹200 - ₹400),08:00,22:00,Yes,No,No,4.1,Dashashwamedh Ghat
RST035,VNS008,VT Canteen,"New Vishwanath Temple, BHU Campus, Varanasi, UP 221005",25.2658,82.9875,"South Indian, Cold Coffee, Snacks",Pure Veg,Budget (₹50 - ₹150),06:00,21:00,Yes,Yes,Yes,4.5,New Vishwanath Temple (BHU)
