hotel_id,nearby_place_id,Hotel Name,Area,Budget Category,Approx Price,Nearby Attractions,Facilities
HTL001,VNS013,Taj Nadesar Palace,"Nadesar, Cantt",Luxury,"₹25,000 - ₹45,000","Varanasi Cantt Station, Nadesar Palace Grounds","Swimming Pool, Spa, Butler Service, Fine Dining, Golf Buggy, Free Wi-Fi, Valet Parking"
HTL002,VNS013,"Taj Ganges, Varanasi","Nadesar, Cantt",Luxury,"₹12,000 - ₹22,000","Varanasi Cantt Station, Bharat Mata Mandir","Swimming Pool, Fitness Center, Multi-Cuisine Restaurants, Lush Gardens, Bar, Banquets"
HTL003,VNS022,BrijRama Palace - Heritage Hotel,"Darbhanga Ghat, Dashashwamedh",Luxury,"₹18,000 - ₹35,000","Darbhanga Ghat, Dashashwamedh Ghat, Kashi Vishwanath","Ganges River View, Heritage Elevator, Live Classical Music, Fine Dining Restaurant, Spa"
HTL004,VNS013,Ramada Plaza by Wyndham,Cantonment,Luxury,"₹8,000 - ₹15,000","Varanasi Cantt Station, Mall Road","Outdoor Pool, Fitness Center, Multiple Restaurants, Bar, Conference Rooms, Free Parking"
HTL005,VNS013,Radisson Hotel Varanasi,"The Mall Road, Cantt",Luxury,"₹9,000 - ₹16,000",Varanasi Cantt Railway Station,"Outdoor Pool, Spa, Sports Bar, Multi-Cuisine Dining, Airport Shuttle, Wi-Fi"
HTL006,VNS001,Hotel Clarks Varanasi,"The Mall Road, Cantt",Luxury,"₹7,500 - ₹14,000","Varanasi Cantt, Nadesar","Heritage Lawn, Swimming Pool, Fine Dining Restaurants, Bar, Travel Desk, Business Center"
HTL007,VNS006,Tree of Life Resort & Spa,Sarnath Road / Suburbs,Luxury,"₹10,000 - ₹18,000",Sarnath Archaeological Complex,"Private Villas, Swimming Pool, Spa, Organic Garden Dining, Quiet Countryside Ambience"
HTL008,VNS023,Suryauday Haveli - An Heritage Hotel,Shivala Ghat,Luxury,"₹12,000 - ₹20,000","Chet Singh Ghat, Assi Ghat","Riverfront Rooftop Terrace, Yoga Sessions, Cultural Music Evenings, Pure Veg Restaurant"
HTL009,VNS001,"Hotel Surya, Kaiser Palace","Mall Road, Cantt",Mid-range,"₹4,000 - ₹7,000","Varanasi Cantt, Bharat Mata Mandir","Lawn, Swimming Pool, Canton Royale Restaurant, Spa, Free Parking, Wi-Fi"
HTL010,VNS004,Banaras Haveli,Assi Ghat,Mid-range,"₹3,500 - ₹6,000","Assi Ghat, Subah-e-Banaras","Rooftop Restaurant, Ganges View, Travel Desk, Air Conditioning, Free Wi-Fi"
