meta_id,place_id,Place Name,History Score,Adventure Score,Family Score,Photography Score,Nature Score,Shopping Score,Food Score,Religious Score,Accessibility Score,Kids Score,Senior Score,Budget Score,Night Visit,Recommended Stay Time,Travel Difficulty,Popularity Score,Hidden Gem Score
META001,VNS001,Dashashwamedh Ghat,8,5,9,10,8,4,6,8,5,6,5,9,Yes,1.5 - 2 Hours,Moderate,9,2
META002,VNS002,Kashi Vishwanath Temple,8,3,10,4,4,6,5,10,7,7,9,9,Yes,1 - 2 Hours,Moderate,10,1
META003,VNS003,Manikarnika Ghat,8,4,8,10,8,6,8,9,5,7,7,10,No,1.5 - 2 Hours,Moderate,8,2
META004,VNS004,Assi Ghat,9,5,8,9,7,5,7,8,6,6,6,9,Yes,1.5 - 2 Hours,Moderate,8,2
META005,VNS005,Sarnath Archaeological Site & Dhamek Stupa,10,3,9,9,5,7,5,3,7,9,8,8,No,2 - 3 Hours,Easy,8,4
META006,VNS006,Sarnath Archaeological Museum,9,5,8,8,5,5,4,4,8,9,9,8,No,2 - 3 Hours,Easy,8,5
META007,VNS007,Banaras Hindu University (BHU),8,6,9,9,6,4,6,6,6,7,6,8,No,1 - 2 Hours,Easy,8,4
META008,VNS008,New Vishwanath Temple (Shri Vishwanath Mandir / VT),9,2,9,7,2,7,5,9,5,7,8,8,No,1 - 2 Hours,Moderate,7,7
META009,VNS009,Ramnagar Fort,10,4,8,9,6,7,4,5,7,9,8,7,No,2 - 3 Hours,Easy,8,3
META010,VNS010,Sankat Mochan Hanuman Temple,8,3,9,6,4,7,5,9,7,7,9,8,No,1 - 2 Hours,Moderate,6,7
META011,VNS011,Tulsi Manas Mandir,9,4,10,6,4,7,7,10,8,7,8,8,No,1 - 2 Hours,Moderate,7,6
META012,VNS012,Durga Kund Temple (Durga Mandir),9,2,10,6,4,6,5,10,5,7,9,8,No,1 - 2 Hours,Moderate,8,7
META013,VNS013,Bharat Mata Mandir,9,3,10,6,3,8,5,9,5,8,9,9,No,1 - 2 Hours,Moderate,6,7
META014,VNS014,Kaal Bhairav Temple,8,2,10,5,2,6,5,9,5,8,7,8,No,1 - 2 Hours,Moderate,8,6
META015,VNS015,Annapurna Temple,9,4,10,7,4,6,5,10,7,7,8,9,No,1 - 2 Hours,Moderate,7,5
META016,VNS016,Chaukhandi Stupa,9,3,9,9,7,5,5,5,8,9,9,8,No,2 - 3 Hours,Easy,9,5
META017,VNS017,Bharat Kala Bhavan Museum,10,3,8,9,7,7,5,6,8,9,9,8,No,2 - 3 Hours,Easy,7,3
META018,VNS018,Jantar Mantar Varanasi (Man Singh Observatory),10,4,8,8,5,5,6,4,8,8,8,8,No,2 - 3 Hours,Easy,9,4
META019,VNS019,Namo Ghat (Khidkiya Ghat),9,3,8,10,8,5,7,9,5,8,5,10,Yes,1.5 - 2 Hours,Easy,7,6
META020,VNS020,Subah-e-Banaras at Assi Ghat,7,5,8,7,7,5,7,8,8,7,8,8,Yes,1 - 2 Hours,Easy,7,5
META021,VNS021,Scindia Ghat & Submerged Shiva Temple,8,3,9,9,9,6,8,8,5,6,6,9,No,1.5 - 2 Hours,Moderate,6,8
META022,VNS022,Darbhanga Ghat & BrijRama Palace,8,4,9,10,8,4,6,8,6,6,6,10,No,1.5 - 2 Hours,Moderate,6,8
META023,VNS023,Chet Singh Ghat,8,4,8,10,7,5,6,8,6,7,6,10,No,1.5 - 2 Hours,Moderate,6,7
META024,VNS024,Panchganga Ghat,9,3,8,10,7,5,7,8,6,7,7,9,No,1.5 - 2 Hours,Moderate,6,8
META025,VNS025,Mulagandha Kuti Vihar,9,3,10,5,3,6,5,9,5,7,9,9,No,1 - 2 Hours,Moderate,6,7
META026,VNS026,Tibetan Temple Sarnath,8,3,10,6,3,8,5,10,8,7,9,9,No,1 - 2 Hours,Moderate,7,5
META027,VNS027,Thai Temple Sarnath,8,4,10,4,3,7,6,9,6,8,7,9,No,1 - 2 Hours,Moderate,6,6
META028,VNS028,Japanese Temple Sarnath,9,2,9,5,3,8,7,10,5,7,8,8,No,1 - 2 Hours,Moderate,8,5
META029,VNS029,Godowlia Market,7,5,8,8,3,10,10,4,5,6,4,6,Yes,2 - 3 Hours,Moderate,9,4
META030,VNS030,Vishwanath Gali,8,4,9,8,2,10,8,5,4,6,5,6,Yes,2 - 3 Hours,Moderate,9,4
META031,VNS031,Thatheri Bazaar,6,5,8,9,1,10,9,5,3,5,4,8,Yes,2 - 3 Hours,Moderate,8,2
META032,VNS032,Varanasi Silk Weaving Village (Peoplani / Madanpura),7,4,9,8,3,10,8,3,3,7,4,8,Yes,2 - 3 Hours,Moderate,9,4
META033,VNS033,Kedar Ghat,8,3,9,9,7,5,8,8,4,7,7,10,No,1.5 - 2 Hours,Moderate,5,8
META034,VNS034,Harishchandra Ghat,8,3,9,9,8,6,8,8,4,6,6,10,No,1.5 - 2 Hours,Moderate,6,6
META035,VNS035,Tulsi Ghat,9,4,8,10,7,6,6,9,6,8,5,10,No,1.5 - 2 Hours,Moderate,5,8
META036,VNS036,Alamgir Mosque (Beniyabagh / Panchganga),9,3,8,8,6,5,6,6,8,8,8,8,No,2 - 3 Hours,Easy,9,5
META037,VNS037,Lalita Ghat & Nepali Temple,9,5,9,10,8,5,8,8,6,8,6,10,No,1.5 - 2 Hours,Moderate,6,6
META038,VNS038,Tilbhandeshwar Mahadev Temple,9,4,9,7,3,7,5,10,7,7,9,9,No,1 - 2 Hours,Moderate,8,6
META039,VNS039,Vishalakshi Gauri Temple,9,4,10,7,4,7,6,10,5,7,7,9,No,1 - 2 Hours,Moderate,7,7
META040,VNS040,Ganges River Boat Ride (Central Ghats),8,6,9,7,7,5,6,7,8,7,8,7,Yes,1 - 2 Hours,Easy,9,5
META041,VNS041,Sheetla Ghat,8,4,8,10,8,4,7,9,6,8,6,9,No,1.5 - 2 Hours,Moderate,5,8
META042,VNS042,Ahilyabai Ghat,8,5,8,10,7,6,7,9,4,8,7,9,No,1.5 - 2 Hours,Moderate,6,7
