emergency_id,place_id,place_name,police_station_name,police_station_address,police_phone,police_toll_free,nearest_hospital_name,hospital_address,hospital_phone,ambulance_toll_free,fire_station_name,fire_station_address,fire_phone,fire_toll_free,women_helpline_toll_free,tourist_helpline_toll_free
EMG001,VNS001,Dashashwamedh Ghat,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG002,VNS002,Kashi Vishwanath Temple,Dashashwamedh Tourist Police Booth,Godowlia Crossing,0542-2451234,112,Marwari Hospital,Godowlia,0542-2450523,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG003,VNS003,Manikarnika Ghat,Chowk Police Station,Chowk,0542-2402500,112,SSP Gupta Hospital / Kabir Chaura Hospital,Maidagin,0542-2401122,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG004,VNS004,Assi Ghat,Lanka Police Station,Lanka Crossing,0542-2368555,112,Sir Sunderlal Hospital & BHU Trauma Centre,BHU Campus,0542-2369211,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
EMG005,VNS005,Sarnath Archaeological Site & Dhamek Stupa,Sarnath Police Station,Sarnath Main Road,0542-2585100,112,Pandeypur District Hospital,Pandeypur,0542-2587200,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG006,VNS006,Sarnath Archaeological Museum,Sarnath Police Station,Sarnath Main Road,0542-2585100,112,Pandeypur District Hospital,Pandeypur,0542-2587200,108,Chetganj Fire Station,Chetganj,0542-2101001,101,1090,1363
EMG007,VNS007,Banaras Hindu University (BHU),Lanka Police Station,Lanka Crossing,0542-2368555,112,Sir Sunderlal Hospital & BHU Trauma Centre,BHU Campus,0542-2369211,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
EMG008,VNS008,New Vishwanath Temple (Shri Vishwanath Mandir / VT),Lanka Police Station,Lanka Crossing,0542-2368555,112,Sir Sunderlal Hospital & BHU Trauma Centre,BHU Campus,0542-2369211,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
EMG009,VNS009,Ramnagar Fort,Ramnagar Police Station,Ramnagar Fort Rd,0542-2268222,112,Ramnagar Government Hospital,Ramnagar,0542-2268300,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
EMG010,VNS010,Sankat Mochan Hanuman Temple,Lanka Police Station,Lanka Crossing,0542-2368555,112,Sir Sunderlal Hospital & BHU Trauma Centre,BHU Campus,0542-2369211,108,Bhelupur Fire Station,Bhelupur,0542-2310101,101,1090,1363
